İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Takhte Siah – Kara Tahta,88 Dakika,2000,İran  İtalya  Japonya,Samira Makhmalbaf,Dram  Savaş,Blackboards
Kasi Az Gorbehaye irani Khabar Nadareh – Kimsenin İran Kedilerinden Haberi Yok,106 Dakika,2009,İran,Bahman Ghobadi,Dram  Müzik,No One Knows About Persian Cats
Paradies: Hoffnung – Cennet: Umut,92 Dakika,2013,Almanya  Avusturya  Fransa,Ulrich Seidl,Dram,Paradise  Hope
Paradies: Glaube – Cennet: İnanç,115 Dakika,2012,Almanya  Avusturya  Fransa,Ulrich Seidl,Dram,Paradise  Faith
Paradies: Liebe – Cennet: Aşk,120 Dakika,2012,Almanya  Avusturya  Fransa,Ulrich Seidl,Dram,Paradise  Love
The Story of Film: An Odyssey – Sinemanın Hikayesi,915 Dakika,2011,Birleşik Krallık,Mark Cousins,Belgesel  Tarih,The Story of Film  An Odyssey
Fanfan,89 Dakika,1993,Fransa,Alexandre Jardin,Komedi  Romantik,Fanfan ve Alexandre
Terra em Transe – Trans Halindeki Ülke,111 Dakika,1967,Brezilya,Glauber Rocha,Dram,Entranced Earth
Hundstage – Zor Günler,121 Dakika,2001,Avusturya,Ulrich Seidl,Dram,Dog Days
Vodka Lemon – Votka Limon,90 Dakika,2003,Ermenistan  Fransa  İsviçre  İtalya,Hiner Saleem,Dram  Komedi,Vodka Lemon
Kilometre Zero,91 Dakika,2005,Irak,Hiner Saleem,Dram  Komedi  Savaş,Kilometre Zero
L’Atalante – Gelip Geçen Çatana,89 Dakika,1934,Fransa,Jean Vigo,Dram  Komedi  Romantik,L'Atalante
Zero De Conduite: Jeunes Diables au College – Hal ve Gidiş Sıfır,44 Dakika,1933,Fransa,Jean Vigo,Dram  Kısa Film  Komedi,Zero for Conduct
303,145 Dakika,2018,Almanya,Hans Weingartner,Dram  Komedi  Romantik,303
Ustav Republike Hrvatske,93 Dakika,2016,Birleşik Krallık  Çekya  Hırvatistan  Makedonya  Slovenya,Rajko Grlić,Dram  Komedi,The Constitution
Evridiki BA 2037,100 Dakika,1975,Almanya  Yunanistan,Nikos Nikolaidis,Dram  Fantastik,Euridice BA 2O37
Alice T.,105 Dakika,2018,Fransa  İsveç  Romanya,Radu Muntean,Dram,Alice T.
Sommeren ’92,93 Dakika,2015,Birleşik Krallık  Danimarka,Kasper Barfoed,Biyografi  Dram  Komedi  Spor,Denmark 92
Braqueurs – Soygun,81 Dakika,2016,Belçika  Fransa,Julien Leclercq,Dram  Gerilim  Suç,The Crew
Brideshead Revisited,133 Dakika,2008,Birleşik Krallık  Fas  İtalya,Julian Jarrold,Dram  Romantik,Brideshead Revisited
