İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Dead Ringers – Ölü İkizler,116 Dakika,1988,ABD  Kanada,David Cronenberg,Dram  Gerilim  Korku,Dead Ringers
Design for Living – Bir Gönülde İki Sevda,91 Dakika,1933,ABD,Ernst Lubitsch,Komedi  Romantik,Design for Living
Cover Girl – Kapak Kızı,107 Dakika,1944,ABD,Charles Vidor,Komedi  Müzik  Romantik,Cover Girl
Man Hunt – İnsan Avı,105 Dakika,1941,ABD,Fritz Lang,Dram  Gerilim  Romantik  Savaş,Man Hunt
Fantômas Contre Scotland Yard,100 Dakika,1967,Fransa  İtalya,André Hunebelle,Fantastik  Komedi  Macera  Suç,Fantomas vs. Scotland Yard
Fantômas se Déchaîne – Fantoma’nın Dönüşü,98 Dakika,1965,Fransa  İtalya,André Hunebelle,Fantastik  Komedi  Macera  Suç,Fantômas se déchaîne
Fantômas – Fantoma,94 Dakika,1964,Fransa  İtalya,André Hunebelle,Fantastik  Komedi  Macera  Suç,Fantômas
A Free Soul – Bir Özgür Ruh,93 Dakika,1931,ABD,Clarence Brown,Dram  Romantik  Suç,A Free Soul
The Gunfighter,85 Dakika,1950,ABD,Henry King,Western,The Gunfighter
The Story of Vernon and Irene Castle,93 Dakika,1939,ABD,H. C. Potter,Biyografi  Dram  Müzik  Romantik  Savaş,The Story of Vernon and Irene Castle
Eliza Graves,112 Dakika,2014,ABD,Brad Anderson,Dram  Gerilim  Korku,Stonehearst Asylum
Go West Young Man,82 Dakika,1936,ABD,Henry Hathaway,Komedi,Go West Young Man
Le Million – Milyon,91 Dakika,1931,Fransa,René Clair,Komedi  Müzik,The Million
Veljekset – Erkek Kardeşler,90 Dakika,2011,Finlandiya,Mika Kaurismäki,Dram,Brothers
Bibliotheque Pascal – Pascal Kütüphanesi,105 Dakika,2010,Almanya  Birleşik Krallık  Macaristan  Romanya,Szabolcs Hajdu,Dram  Fantastik,Bibliotheque Pascal
Sudba Cheloveka – İnsanın Kaderi,103 Dakika,1959,SSCB,Sergey Bondarchuk,Dram  Savaş,Destiny of a Man
Here Comes the Groom,113 Dakika,1951,ABD,Frank Capra,Komedi  Müzik  Romantik,Here Comes the Groom
The Music Box,29 Dakika,1932,ABD,James Parrott,Kısa Film  Komedi,The Music Box
Beau Geste – Gönüllü Kahramanlar,112 Dakika,1939,ABD,William A. Wellman,Aksiyon  Dram  Macera  Savaş,Beau Geste
Scarlet Street – Scarlet Caddesi,102 Dakika,1945,ABD,Fritz Lang,Dram  Gerilim  Kara Film,Scarlet Street
Broken Arrow – Kanlı Ok,93 Dakika,1950,ABD,Delmer Daves,Dram  Romantik  Western,Broken Arrow
The Spanish Earth – İspanya Toprağı,52 Dakika,1937,ABD,Joris Ivens,Belgesel  Savaş,The Spanish Earth
Nieuwe Gronden – Yeni Dünya,36 Dakika,1933,Hollanda,Joris Ivens,Belgesel  Kısa Film,New Earth
Nostalgia De La Luz – Işığa Özlem,90 Dakika,2010,Şili,Patricio Guzmán,Belgesel,Nostalgia for the Light
Fuefukigawa,117 Dakika,1960,Japonya,Keisuke Kinoshita,Dram  Savaş  Tarih,The River Fuefuki
Salvador Allende,100 Dakika,2004,Şili,Patricio Guzmán,Belgesel  Biyografi,Salvador Allende
Helga La Louve de Stilberg,97 Dakika,1978,Fransa,Patrice Rhomm,Aksiyon  Dram  Gerilim  Savaş,Helga She Wolf of Spilberg
Braca Po Materi,105 Dakika,1988,Yugoslavya,Zdravko Šotra,Dram,Braća po materi
BUtterfield 8 – Vizonlu Venüs,109 Dakika,1960,ABD,Daniel Mann,Dram  Romantik,BUtterfield 8
Sveto Mesto,90 Dakika,1990,Yugoslavya,Djordje Kadijevic,Dram  Korku,A Holy Place
Une Histoire de Vent – Rüzgarın Bir Hikayesi,80 Dakika,1988,Almanya  Birleşik Krallık  Fransa  Hollanda,Joris Ivens,Belgesel,A Tale of the Wind
Kuchizuke,74 Dakika,1957,Japonya,Yasuzō Masumura,Dram  Romantik,The Kiss
Moon Over Parador – Parador Üzerinde Ay,103 Dakika,1988,ABD,Paul Mazursky,Komedi  Romantik,Moon Over Parador
…A Valparaíso,27 Dakika,1963,Fransa  Şili,Joris Ivens,Belgesel  Kısa Film,...A Valparaíso
Leptirica – Dişi Kelebek,63 Dakika,1973,Yugoslavya,Djordje Kadijevic,Dram  Korku,The She-Butterfly
Boj na Kosovu,117 Dakika,1989,Yugoslavya,Zdravko Šotra,Dram  Savaş  Tarih,The Battle of Kosovo
Specijalno Vaspitanje – Özel Eğitim,110 Dakika,1977,Yugoslavya,Goran Marković,Dram,Special Education
Balkan Ekspres – Balkan Ekspresi,102 Dakika,1983,Yugoslavya,Branko Baletić,Komedi  Savaş,Balkan Ekspres
Queen Christina – Kraliçe Kristina,99 Dakika,1933,ABD,Rouben Mamoulian,Biyografi  Dram  Romantik  Tarih,Queen Christina
Giordano Bruno,123 Dakika,1973,Fransa  İtalya,Giuliano Montaldo,Biyografi  Dram  Tarih,Giordano Bruno
Anna Karenina,95 Dakika,1935,ABD,Clarence Brown,Dram  Romantik,Anna Karenina
Follow the Fleet – Filoyu Takip Edelim,110 Dakika,1936,ABD,Mark Sandrich,Komedi  Müzik  Romantik,Follow the Fleet
Fanaa,168 Dakika,2006,Hindistan,Kunal Kohli,Aksiyon  Dram  Gerilim  Romantik,Fanaa
Brubaker,131 Dakika,1980,ABD,Stuart Rosenberg,Dram  Suç,Brubaker
The Band Wagon – Asrî Âşıklar,112 Dakika,1953,ABD,Vincente Minnelli,Komedi  Müzik  Romantik,The Band Wagon
Tom Jones,129 Dakika,1963,Birleşik Krallık,Tony Richardson,Komedi  Macera  Tarih,Tom Jones
Thoroughly Modern Millie – Tatlı Kızın Aşkı,138 Dakika,1967,ABD,George Roy Hill,Komedi  Müzik  Romantik,Thoroughly Modern Millie
Toni,84 Dakika,1935,Fransa,Jean Renoir,Dram  Romantik  Suç,Toni
Gold Diggers of 1933 – Altın Arayan Kızlar,97 Dakika,1933,ABD,Mervyn LeRoy,Dram  Komedi  Müzik,Gold Diggers of 1933
Bad Lieutenant – Kötü Polis,96 Dakika,1992,ABD,Abel Ferrara,Dram  Gerilim  Suç,Bad Lieutenant
The Divorcee,84 Dakika,1930,ABD,Robert Z. Leonard,Dram  Romantik,The Divorcee
Gentlemen Prefer Blondes – Erkekler Sarışınları Sever,91 Dakika,1953,ABD,Howard Hawks,Komedi  Müzik  Romantik,Gentlemen Prefer Blondes
Love Me Tonight – Bu Gece Sevişelim,104 Dakika,1932,ABD,Rouben Mamoulian,Komedi  Müzik  Romantik,Love Me Tonight
The Public Enemy – Halk Düşmanı,83 Dakika,1931,ABD,William A. Wellman,Dram  Suç,The Public Enemy
Carefree,83 Dakika,1938,ABD,Mark Sandrich,Komedi  Müzik  Romantik,Carefree
Swing Time – Vals Dalgası,103 Dakika,1936,ABD,George Stevens,Komedi  Müzik  Romantik,Swing Time
She Done Him Wrong,66 Dakika,1933,ABD,Lowell Sherman,Dram  Komedi  Müzik  Romantik  Tarih,She Done Him Wrong
Hail Satan?,95 Dakika,2019,ABD,Penny Lane,Belgesel,Hail Satan?
Arrowsmith,108 Dakika,1931,ABD,John Ford,Dram,Arrowsmith
The Mysterious Lady,96 Dakika,1928,ABD,Fred Niblo,Dram  Romantik,The Mysterious Lady
In Old Arizona,95 Dakika,1928,ABD,Irving Cummings,Western,In Old Arizona
The Belle of New York,82 Dakika,1952,ABD,Charles Walters,Komedi  Müzik  Romantik,The Belle of New York
Le Gentleman d’Epsom,87 Dakika,1962,Fransa  İtalya,Gilles Grangier,Komedi  Suç,The Gentleman from Epsom
Anna Quel Particolare Piacere – Yılan Soyu,100 Dakika,1973,İtalya,Giuliano Carnimeo,Dram  Suç,Anna  The Pleasure the Torment
Gigi,115 Dakika,1958,ABD,Vincente Minnelli,Komedi  Müzik  Romantik,Gigi
Top Hat – Silindir Şapka,101 Dakika,1935,ABD,Mark Sandrich,Komedi  Müzik  Romantik,Top Hat
Shall We Dance,109 Dakika,1937,ABD,Mark Sandrich,Komedi  Müzik  Romantik,Shall We Dance
Die Geschichte Vom Weinenden Kamel – Ağlayan Devenin Öyküsü,93 Dakika,2003,Almanya  Moğolistan,Byambasuren Davaa,Aile  Belgesel  Dram,The Story of the Weeping Camel
Juan de Los Muertos – Ölülerin Juan’ı,92 Dakika,2011,İspanya  Küba,Alejandro Brugués,Aksiyon  Bilim Kurgu  Fantastik  Gerilim  Komedi  Korku  Macera,Juan of the Dead
Le Crime Ne Paie Pas,159 Dakika,1962,Fransa  İtalya,Gérard Oury,Dram  Komedi  Suç,Crime Does Not Pay
La Chiesa,102 Dakika,1989,İtalya,Michele Soavi,Korku,The Church
Wonder Park – Mucizeler Parkı,85 Dakika,2019,ABD  İspanya,Dylan Brown,Aile  Animasyon  Dram  Fantastik  Komedi  Macera,Wonder Park
Touche Pas à La Femme Blanche,108 Dakika,1974,Fransa  İtalya,Marco Ferreri,Komedi  Western,Don't Touch the White Woman!
Un Bianco Vestito Per Marialé – Beyaz Gelinlik,92 Dakika,1972,İtalya,Romano Scavolini,Gerilim  Gizem  Korku,A White Dress for Marialé
Marquis,83 Dakika,1989,Belçika  Fransa,Henri Xhonneux,Animasyon  Komedi,Marquis
Exterior/Night,95 Dakika,2018,Birleşik Arap Emirlikleri  Mısır,Ahmad Abdalla,Biyografi  Dram  Macera,Exterior/Night
L’animal – Hayvan,100 Dakika,1977,Fransa,Claude Zidi,Aksiyon  Komedi  Romantik,Animal
Adam 2,79 Dakika,1968,Almanya,Jan Lenica,Animasyon,Adam 2
Monkey Business,77 Dakika,1931,ABD,Norman Z. McLeod,Komedi  Müzik,Monkey Business
A Story of Children and Film – Sinema ve Çocukların Hikayesi,106 Dakika,2013,Birleşik Krallık,Mark Cousins,Belgesel  Tarih,A Story of Children and Film
Outrage,75 Dakika,1950,ABD,Ida Lupino,Dram  Kara Film  Suç,Outrage
Quirino Cristiani,88 Dakika,2007,Birleşik Krallık,Gabriele Zucchelli,Belgesel,Quirino Cristiani
Bjarnfreðarson,109 Dakika,2009,İzlanda,Ragnar Bragason,Dram  Komedi,Mr. Bjarnfredarson
Eega – Kara Sineğin İntikamı,145 Dakika,2012,Hindistan,S.S. Rajamouli,Aksiyon  Fantastik  Komedi,Eega
Sadie,84 Dakika,2016,Birleşik Krallık  İtalya  Kanada,Craig Goodwill,Dram  Fantastik  Gerilim  Korku  Romantik,Compulsion
7 Dias en La Habana – Havana’da 7 Gün,129 Dakika,2012,Fransa  İspanya  Küba,Benicio del Toro,Dram,7 Days in Havana
Lux Æterna,51 Dakika,2019,Fransa,Gaspar Noé,Dram  Gerilim,Lux Æterna
SIDA – AIDS,17 Dakika,2006,Fransa,Gaspar Noé,Dram  Kısa Film,SIDA
Carne – Et,40 Dakika,1991,Fransa,Gaspar Noé,Dram  Gerilim  Kısa Film  Suç,Carne
Le Corps de Mon Ennemi – Bitmeyen Kin,116 Dakika,1976,Fransa,Henri Verneuil,Dram  Gerilim  Gizem  Suç,Body of My Enemy
Intoxication,5 Dakika,2002,Fransa,Gaspar Noé,Belgesel  Kısa Film,Intoxication
L’incorrigible – Uslanmayan Adam,100 Dakika,1975,Fransa,Philippe de Broca,Komedi,Incorrigible
Tintarella di Luna,18 Dakika,1985,Fransa,Gaspar Noé,Kısa Film,Tintarella di Luna
La Sonate à Kreutzer – Kreutzer Sonat,50 Dakika,1956,Fransa,Éric Rohmer,Dram  Suç,The Kreutzer Sonata
State Funeral – Devlet Töreni,135 Dakika,2019,Hollanda  Litvanya,Sergey Loznitsa,Belgesel  Tarih,State Funeral
Le Concile de Pierre – Taş Meclisi,102 Dakika,2006,Almanya  Fransa  İtalya,Guillaume Nicloux,Dram  Fantastik  Gerilim  Gizem  Macera  Suç,The Stone Council
Tie Pohjoiseen – Kuzeye Giden Yol,110 Dakika,2012,Finlandiya,Mika Kaurismäki,Dram  Komedi,Road North
Hearts and Bones – Kalpler ve Kemikler,111 Dakika,2019,Avustralya,Ben Lawrence,Dram,Hearts and Bones
Trapped in Paradise – Cennette Tuzak,111 Dakika,1994,ABD,George Gallo,Komedi  Macera  Romantik  Suç,Trapped in Paradise
L’as Des As – Asların Ası,100 Dakika,1982,Almanya  Fransa,Gérard Oury,Komedi  Macera  Spor,Ace of Aces
Les Morfalous – Zafer Benimdir,106 Dakika,1984,Fransa,Henri Verneuil,Aksiyon  Dram  Gerilim  Komedi  Savaş,The Vultures
Le Solitaire – Komiserin İntikamı,100 Dakika,Yönetmen: Jacques Deray,,Adı: Le Solitaire,Aksiyon  Dram  Gerilim  Komedi  Savaş,Aksiyon  Dram  Gerilim  Suç
Week-end à Zuydcoote – Dünkerk Kahramanları,119 Dakika,1964,Fransa  İtalya,Henri Verneuil,Dram  Savaş,Weekend at Dunkirk
Le Casse – Hırsızlar,120 Dakika,1971,Fransa  İtalya,Henri Verneuil,Aksiyon  Gerilim  Suç,The Burglars
Le Guignolo – Deli Fişek,108 Dakika,1980,Fransa  İtalya,Georges Lautner,Aksiyon  Komedi,Le Guignolo
Les Cent et Une Nuits de Simon Cinéma – 101 Gece,104 Dakika,1995,Fransa,Agnès Varda,Komedi  Romantik  Tarih,One Hundred and One Nights
Le Marginal – Mağlup Edilmeyen,103 Dakika,1983,Fransa,Jacques Deray,Aksiyon  Dram  Gerilim  Suç,Le Marginal
Le Professionnel – Profesyonel,108 Dakika,1981,Fransa,Georges Lautner,Aksiyon  Dram  Gerilim  Suç,The Professional
Cabaret – Kabare: Elveda Berlin,124 Dakika,1972,ABD,Bob Fosse,Dram  Müzik,Cabaret
Peut-etre – Belki,109 Dakika,1999,Fransa,Cédric Klapisch,Bilim Kurgu  Dram  Komedi,Maybe
Something Wicked This Way Comes,95 Dakika,1983,ABD,Jack Clayton,Fantastik  Gerilim  Gizem,Something Wicked This Way Comes
Doom Asylum,77 Dakika,1987,ABD,Richard Friedman,Komedi  Korku,Doom Asylum
Gui Tu Lie Che,85 Dakika,2009,Birleşik Krallık  Çin  Kanada,Lixin Fan,Belgesel  Dram,Last Train Home
E Tanta Paura,98 Dakika,1976,İtalya,Paolo Cavara,Gerilim  Gizem,Plot of Fear
Mong Bat Liu,109 Dakika,2003,Hong Kong,Derek Yee Tung-Sing,Dram,Lost in Time
Flåklypa Grand Prix,88 Dakika,1975,Norveç,Ivo Caprino,Aile  Animasyon  Komedi  Spor,Pinchcliffe Grand Prix
Grand Prix – Ölümle Yarışanlar,176 Dakika,1966,ABD,John Frankenheimer,Dram  Spor,Grand Prix
Stories We Tell – Anlattığımız Hikayeler,108 Dakika,2012,Kanada,Sarah Polley,Belgesel,Stories We Tell
One Magic Christmas – Büyülü Yılbaşı,89 Dakika,1985,ABD  Kanada,Phillip Borsos,Aile  Fantastik,One Magic Christmas
Dias de Nietzsche em Turim,85 Dakika,2001,Brezilya,Júlio Bressane,Dram,Days of Nietzche in Turin
Rengoku Eroica,118 Dakika,1970,Japonya,Yoshishige Yoshida,Dram  Fantastik,Heroic Purgatory
The Adventures of Baron Munchausen – Baron Munchausen’in Maceraları,126 Dakika,1988,Birleşik Krallık  İtalya,Terry Gilliam,Fantastik  Komedi  Macera,The Adventures of Baron Munchausen
Winchester ’73,92 Dakika,1950,ABD,Anthony Mann,Aksiyon  Dram  Western,Winchester '73
The Toolbox Murders – Takım Çantası Cinayetleri,93 Dakika,1978,ABD,Dennis Donnelly,Gerilim  Gizem  Korku,The Toolbox Murders
Przeswietlenie – Röntgen,13 Dakika,1974,Polonya,Krzysztof Kieślowski,Belgesel  Kısa Film,X-Ray
Koncert Zyczen – İstek Parça,16 Dakika,1967,Polonya,Krzysztof Kieślowski,Dram  Kısa Film,Concert of Requests
Bylem Zolnierzem – Ben Bir Askerdim,16 Dakika,1971,Polonya,Krzysztof Kieślowski,Belgesel  Kısa Film,I Was a Soldier
Refren – Nakarat,11 Dakika,1972,Polonya,Krzysztof Kieślowski,Belgesel  Kısa Film,Refrain
Urzad – Ofis,5 Dakika,1966,Polonya,Krzysztof Kieślowski,Dram  Kısa Film,The Office
Coming Home – Eve Dönüş,127 Dakika,1978,ABD,Hal Ashby,Dram  Romantik  Savaş,Coming Home
3:10 to Yuma – Gönüllü Katil,92 Dakika,1957,ABD,Delmer Daves,Dram  Gerilim  Western,3 10 to Yuma
The Little Prince – Küçük Prens,88 Dakika,1974,ABD  Birleşik Krallık,Stanley Donen,Aile  Bilim Kurgu  Fantastik  Müzik,The Little Prince
The Invisible Man – Görünmez Adam,71 Dakika,1933,ABD,James Whale,Bilim Kurgu  Korku,The Invisible Man
Mein Führer,89 Dakika,2007,Almanya,Dani Levy,Dram  Komedi  Savaş,My Führer
Une Rose Entre Nous,27 Dakika,1994,Fransa,François Ozon,Kısa Film,A Rose Between Us
Action Vérité – Doğruluk Mu Cesaret Mi?,4 Dakika,1994,Fransa,François Ozon,Kısa Film,Truth or Dare
Une Robe D’été – Bir Yaz Elbisesi,15 Dakika,1996,Fransa,François Ozon,Dram  Kısa Film  Komedi  Romantik,Une robe d'été
X2000,8 Dakika,1998,Fransa,François Ozon,Kısa Film,X2000
The Age of Stupid – Aptallık Çağı,92 Dakika,2009,Birleşik Krallık,Franny Armstrong,Belgesel  Bilim Kurgu  Savaş  Tarih,The Age of Stupid
Grâce à Dieu – Yüzleşme,137 Dakika,2018,Belçika  Fransa,François Ozon,Dram,By the Grace of God
Tegami,121 Dakika,2006,Japonya,Jirô Shôno,Dram,The Letter
Kyûka – Tatil,115 Dakika,2008,Japonya,Hajime Kadoi,Dram,Vacation
El Haram,105 Dakika,1965,Mısır,Henry Barakat,Dram,The Sin
Safar Barlek,115 Dakika,1966,Lübnan,Henry Barakat,Dram  Müzik,The Exile
Salt of the Earth – Toprağın Tuzu,94 Dakika,1954,ABD,Herbert J. Biberman,Dram  Tarih,Salt of the Earth
Sonja i Bik,103 Dakika,2012,Hırvatistan,Vlatka Vorkapic,Komedi  Romantik,Sonja and the Bull
Ninas Mal – Şehvet Okulu,100 Dakika,2007,Meksika,Fernando Sariñana,Komedi,Charm School
Un Lever de Rideau,30 Dakika,2006,Fransa,François Ozon,Dram  Kısa Film  Romantik,A Curtain Raiser
Le Choix Des Armes – Silahların Seçimi,135 Dakika,1981,Fransa,Alain Corneau,Dram  Suç,Choice of Arms
Murder on the Orient Express – Şark Ekspresinde Cinayet,128 Dakika,1974,Birleşik Krallık,Sidney Lumet,Dram  Gizem  Suç,Murder on the Orient Express
My Life Without Me – Bensiz Hayatım,106 Dakika,2003,İspanya  Kanada,Isabel Coixet,Dram  Romantik,My Life Without Me
The Mist – Öldüren Sis,126 Dakika,2007,ABD,Frank Darabont,Bilim Kurgu  Gerilim  Korku,The Mist
The Secret Life of Walter Mitty – Walter Mitty’nin Gizli Yaşamı,114 Dakika,2013,ABD,Ben Stiller,Dram  Fantastik  Komedi  Macera  Romantik,The Secret Life of Walter Mitty
Le Sauvage – Vahşi Dilber,107 Dakika,1975,Fransa  İtalya,Jean-Paul Rappeneau,Dram  Komedi  Macera  Romantik,Le Sauvage
Murder on the Orient Express – Doğu Ekspresinde Cinayet,114 Dakika,2017,ABD  Birleşik Krallık,Kenneth Branagh,Dram  Gizem  Suç,Murder on the Orient Express
Heidi,88 Dakika,1937,ABD,Allan Dwan,Aile  Dram  Müzik,Heidi
Hustle – Tehlikeli Oyun,120 Dakika,1975,ABD,Robert Aldrich,Dram  Gerilim  Gizem  Suç,Hustle
Un Conte de Noël – Bir Noel Akşamı,152 Dakika,2008,Fransa,Arnaud Desplechin,Dram  Komedi,A Christmas Tale
Indochine – Hindiçin,160 Dakika,1992,Fransa,Régis Wargnier,Dram  Romantik  Savaş,Indochine
The Da Vinci Code – Da Vinci Şifresi,149 Dakika,2006,ABD,Ron Howard,Gerilim  Gizem,The Da Vinci Code
Lean on Pete,121 Dakika,2017,Birleşik Krallık,Andrew Haigh,Aile  Dram  Macera,Lean on Pete
3 Coeurs,108 Dakika,2014,Almanya  Belçika  Fransa,Benoît Jacquot,Dram  Romantik,3 Hearts
Lazzarella,97 Dakika,1957,Fransa  İtalya,Carlo Ludovico Bragaglia,Dram  Komedi  Müzik  Romantik,Lazzarella
Yves Saint Laurent,106 Dakika,2014,Fransa,Jalil Lespert,Biyografi  Dram,Yves Saint Laurent
I Want to Go Home,100 Dakika,1989,Fransa,Alain Resnais,Komedi,I Want to Go Home
Stan & Ollie – Laurel ile Hardy,98 Dakika,2018,ABD  Birleşik Krallık  Kanada,Jon S. Baird,Aile  Biyografi  Dram  Komedi  Tarih,Stan & Ollie
Linhas de Wellington,151 Dakika,2012,Fransa  Portekiz,Valeria Sarmiento,Dram  Savaş  Tarih,Lines of Wellington
Après Lui,94 Dakika,2007,Fransa,Gaël Morel,Dram,After Him
A Secret Love – Gizli Bir Aşk,81 Dakika,2020,ABD,Chris Bolan,Belgesel  Dram,A Secret Love
Mauvaises Herbes,100 Dakika,2018,Fransa,Kheiron,Komedi,Bad Seeds
Le Choc – Şok,100 Dakika,1982,Fransa,Robin Davis,Aksiyon  Gerilim  Romantik  Suç,Le Choc
Mes Stars Et Moi,88 Dakika,2008,Fransa,Laetitia Colombani,Komedi,My Stars
Belle à Croquer,15 Dakika,2017,Fransa,Axel Courtière,Fantastik  Kısa Film  Komedi  Romantik,Delectable You
Saint Laurent,150 Dakika,2014,Fransa,Bertrand Bonello,Biyografi  Dram  Romantik,Saint Laurent
Jim & Andy: The Great Beyond,94 Dakika,2017,ABD  Kanada,Chris Smith,Belgesel,Jim & Andy  The Great Beyond
Lean on Me – Hep Yanınızdayım,108 Dakika,1989,ABD,John G. Avildsen,Dram,Lean on Me
The Agony and the Ecstasy – Acı ve İlham,138 Dakika,1965,ABD  İtalya,Carol Reed,Biyografi  Dram  Tarih,The Agony and the Ecstasy
Luther,123 Dakika,2003,ABD  Almanya,Eric Till,Biyografi  Dram  Tarih,Luther
Ghost in the Shell – Kabuktaki Hayalet,107 Dakika,2017,ABD  Avustralya  Birleşik Krallık  Çin  Hindistan  Hong Kong  Japonya  Kanada  Yeni Zelanda,Rupert Sanders,Aksiyon  Bilim Kurgu  Dram  Gerilim  Suç,Ghost in the Shell
The Mummy – Ölmeyen Mumya,73 Dakika,1932,ABD,Karl Freund,Fantastik  Korku,The Mummy
Odgrobadogroba – Mezardan Mezara,103 Dakika,2005,Hırvatistan  Slovenya,Jan Cvitkovič,Dram  Komedi,Gravehopping
Children of the Damned – Lanetli Çocuklar,90 Dakika,1964,Birleşik Krallık,Anton Leader,Bilim Kurgu  Dram  Gizem  Korku,Children of the Damned
Je N’aime Que Toi,105 Dakika,2004,Kanada,Claude Fournier,Romantik,My One Only Love
The Curse of the Mummy’s Tomb – Mumya’nın Mezarının Laneti,78 Dakika,1964,Birleşik Krallık,Michael Carreras,Korku,The Curse of the Mummy's Tomb
Cuatro Paredes – Dört Duvar,20 Dakika,2021,Meksika,Matthew Porterfield,Dram  Kısa Film,Cuatro Paredes
Poklad Ptacího Ostrova,75 Dakika,1952,Çekoslovakya,Karel Zeman,Animasyon,A Treasure on Bird Island
Indianara,84 Dakika,2019,Brezilya,Aude Chevalier-Beaumel,Belgesel,Indianara
Hichki – Hıçkırık,116 Dakika,2018,Hindistan,Siddharth P. Malhotra,Dram  Komedi,Hichki
Ådalen 31,110 Dakika,1969,İsveç,Bo Widerberg,Dram  Romantik  Tarih,Ådalen 31
Hala,93 Dakika,2019,ABD,Minhal Baig,Dram,Hala
Hafez – Hafız,98 Dakika,2007,İran  Japonya,Abolfazl Jalili,Dram  Romantik,Hafez
Köshpendiler – Savaşçı Nomad,112 Dakika,2005,Fransa  Kazakistan,Ivan Passer,Dram  Savaş  Tarih,Nomad  The Warrior
Seisaku No Tsuma,93 Dakika,1965,Japonya,Yasuzō Masumura,Dram  Romantik  Savaş,Seisaku's Wife
Ben Ming Nian,107 Dakika,1990,Çin,Fei Xie,Dram,Black Snow
Hum Hain Rahi Pyar Ke,163 Dakika,1993,Hindistan,Mahesh Bhatt,Dram  Komedi  Romantik,Hum Hain Rahi Pyar Ke
Billie,98 Dakika,2019,Birleşik Krallık,James Erskine,Belgesel  Biyografi  Müzik  Tarih,Billie
A Nice Girl Like You,94 Dakika,2020,ABD,Chris Riedell,Komedi  Romantik,A Nice Girl Like You
Hollywood Boulevard,75 Dakika,1936,ABD,Robert Florey,Dram  Romantik,Hollywood Boulevard
Meeting the Man,26 Dakika,1970,Birleşik Krallık  Fransa,Terence Dixon,Belgesel  Biyografi  Kısa Film,Meeting the Man
Miao Miao,83 Dakika,2008,Hong Kong  Tayvan,Hsiao-tse Cheng,Dram  Komedi  Romantik,Miao Miao
The Grey Zone – Gri Bölge,108 Dakika,2001,ABD,Tim Blake Nelson,Dram  Savaş  Tarih,The Grey Zone
The Mummy’s Shroud – Esrarengiz Mumya,90 Dakika,1967,Birleşik Krallık,John Gilling,Korku,The Mummy's Shroud
Der Kuaför aus der Keupstraße,97 Dakika,2015,Almanya,Andreas Maus,Belgesel,The Barber And The Bomb
La Rosa di Bagdad – Bağdat Gülü,76 Dakika,1949,İtalya,Anton Gino Domenighini,Animasyon  Fantastik,The Singing Princess
Turnabout,83 Dakika,1940,ABD,Hal Roach,Fantastik  Komedi  Romantik,Turnabout
Ang Hupa – Kesinti,279 Dakika,2019,Çin  Filipinler,Lav Diaz,Bilim Kurgu  Dram,The Halt
Sadgati,45 Dakika,1981,Hindistan,Satyajit Ray,Aksiyon  Dram,Deliverance
Ragtime – Bir Zamanlar,155 Dakika,1981,ABD,Miloš Forman,Dram,Ragtime
The People vs. Larry Flynt – Skandalın Adı Larry Flynt,130 Dakika,1996,ABD,Miloš Forman,Biyografi  Dram,The People vs. Larry Flynt
Phoenix,107 Dakika,1998,ABD,Danny Cannon,Dram  Suç,Phoenix
Heartburn,108 Dakika,1986,ABD,Mike Nichols,Dram  Komedi,Heartburn
Perceval le Gallois – Parsifal,140 Dakika,1978,Almanya  Fransa  İtalya,Éric Rohmer,Dram  Müzik  Romantik  Savaş,Perceval
L’Anglaise Et Le Duc – Leydi Ve Dük,129 Dakika,2001,Almanya  Fransa,Éric Rohmer,Dram  Romantik  Savaş  Tarih,The Lady and the Duke
Mr. Destiny,110 Dakika,1990,ABD,James Orr,Fantastik  Komedi  Romantik,Mr. Destiny
Retroactive,91 Dakika,1997,ABD,Louis Morneau,Aksiyon  Bilim Kurgu  Dram  Gerilim  Suç,Retroactive
The Old Man and the Sea – İhtiyar Adam ve Deniz,86 Dakika,1958,ABD,John Sturges,Dram  Macera,The Old Man and the Sea
Bedazzled,103 Dakika,1967,Birleşik Krallık,Stanley Donen,Fantastik  Komedi  Romantik,Bedazzled
Street Angel,102 Dakika,1928,ABD,Frank Borzage,Dram,Street Angel
Somewhere in Time – Zamanın Bir Yerinde,103 Dakika,1980,ABD,Jeannot Szwarc,Dram  Fantastik  Romantik,Somewhere in Time
Weird Science – Tuhaf Bilim,94 Dakika,1985,ABD,John Hughes,Bilim Kurgu  Komedi  Romantik,Weird Science
The Mummy – Mumya,86 Dakika,1959,Birleşik Krallık,Terence Fisher,Korku  Macera,The Mummy
Heavy – Şişman,105 Dakika,1995,ABD,James Mangold,Dram  Romantik,Heavy
Svadba – Düğün,114 Dakika,2000,Almanya  Fransa  Rusya,Pavel Lungin,Dram  Gizem  Komedi,The Wedding
Sen de Gitme Triyandafilis,105 Dakika,1995,Türkiye,Tunç Başaran,Dram,Sen de Gitme
Hatsukoi: Jigoku-Hen – İlk Aşkın Cehennemi,108 Dakika,1968,Japonya,Susumu Hani,Dram  Romantik,Nanami  The Inferno of First Love
The Old Man and the Sea – Yaşlı Adam ve Deniz,93 Dakika,1990,Birleşik Krallık,Jud Taylor,Dram,The Old Man and the Sea
